iso3,country,year,homicide_rate,gini,gdppc,pop,democracy,gini_interp,log_homicide,log_gdppc,gini_c,democracy_c,gini_x_dem
DEU,Germany,2008,1.02452477446076,30.6,3203102383827.36,82110097,8.82,30.6,0.03394216616296986,28.795140951023583,-5.473478421246767,2.256820319849483,-12.352657321327374
DEU,Germany,2010,0.981060169496516,30.2,3150598283304.25,81776930,8.38,30.2,-0.008980030555311373,28.77861348193914,-5.8734784212467694,1.8168203198494837,-10.671054943918596
DEU,Germany,2010,0.47011710518118,30.2,3150598283304.25,81776930,8.38,30.2,-0.7337252357083701,28.77861348193914,-5.8734784212467694,1.8168203198494837,-10.671054943918596
DEU,Germany,2011,0.91271260058552,30.4,3268996785218.57,80274983,8.34,30.4,-0.08043746828027282,28.815504260255814,-5.67347842124677,1.7768203198494827,-10.080751743098824
DEU,Germany,2011,0.401939830881157,30.4,3268996785218.57,80274983,8.34,30.4,-0.8868779818483061,28.815504260255814,-5.67347842124677,1.7768203198494827,-10.080751743098824
DEU,Germany,2012,0.814420905242925,30.9,3284148978797.69,80425823,8.34,30.9,-0.19307407215667427,28.820128671531695,-5.17347842124677,1.7768203198494827,-9.192341583174084
DEU,Germany,2012,0.43872446337062,30.9,3284148978797.69,80425823,8.34,30.9,-0.8013462469367583,28.820128671531695,-5.17347842124677,1.7768203198494827,-9.192341583174084
DEU,Germany,2013,0.841543300830081,31.4,3297186905208.25,80645605,8.31,31.4,-0.16070492775885095,28.82409076788914,-4.67347842124677,1.7468203198494834,-8.163727070611941
DEU,Germany,2013,0.355373124104198,31.4,3297186905208.25,80645605,8.31,31.4,-1.0068361897296325,28.82409076788914,-4.67347842124677,1.7468203198494834,-8.163727070611941
DEU,Germany,2014,0.87986543465844,30.8,3369071713224.27,80982500,8.64,30.8,-0.1166850247003609,28.845658366331303,-5.273478421246768,2.0768203198494835,-10.952067141533062
DEU,Germany,2014,0.393235948450699,30.8,3369071713224.27,80982500,8.64,30.8,-0.9082334083354675,28.845658366331303,-5.273478421246768,2.0768203198494835,-10.952067141533062
